ev-id,net,day,time,lat,lon,dept,RMS,d_la,d_lo,d_de,Ml,Ml,M,mode
"isor2013uaqr","SI",2013-10-12,23:06:56.974,63.8157,-22.6235,3.31,0.059,0.48,0.33,0.48,1.43,1.60,1.50,"manual"
"isor2013uarq","SI",2013-10-12,23:37:56.956,63.8134,-22.6296,3.25,0.052,0.58,0.53,0.51,1.35,1.49,1.39,"manual"
"isor2013uasa","SI",2013-10-12,23:49:18.258,63.8175,-22.6202,3.17,0.055,0.49,0.30,0.49,1.85,1.96,1.92,"manual"
"isor2013uasi","SI",2013-10-12,23:58:49.099,63.8151,-22.6234,3.35,0.052,0.50,0.48,0.47,1.38,1.48,1.42,"manual"
"isor2013uasy","SI",2013-10-13,00:17:07.231,63.8083,-22.6468,3.42,0.052,0.51,0.53,0.70,1.24,1.49,1.32,"manual"
"isor2013uatf","SI",2013-10-13,00:24:52.165,63.8155,-22.6276,3.00,0.049,0.50,0.31,0.41,1.26,1.43,1.32,"manual"
"isor2013uatg","SI",2013-10-13,00:26:29.335,63.8089,-22.6354,3.52,0.071,0.46,0.50,0.66,1.32,1.59,1.45,"manual"
"isor2013uati","SI",2013-10-13,00:28:44.940,63.8082,-22.6356,3.24,0.053,0.44,0.33,0.45,1.91,2.13,1.80,"manual"
"isor2013uatn","SI",2013-10-13,00:36:29.142,63.8140,-22.6309,3.97,0.058,0.57,0.76,0.55,1.25,1.46,1.30,"manual"
"isor2013uato","SI",2013-10-13,00:34:26.670,63.8102,-22.6378,3.32,0.064,0.44,0.35,0.44,1.47,1.64,1.52,"manual"
"isor2013uatp","SI",2013-10-13,00:34:45.001,63.8076,-22.6355,3.53,0.063,0.45,0.36,0.46,1.60,1.91,1.70,"manual"
"isor2013uatq","SI",2013-10-13,00:35:41.462,63.8076,-22.6374,3.43,0.057,0.45,0.36,0.48,1.82,1.98,1.88,"manual"
"isor2013uats","SI",2013-10-13,00:40:12.573,63.8055,-22.6490,3.14,0.066,0.48,0.39,0.61,1.61,1.80,1.70,"manual"
