ev-id,net,day,time,lat,lon,dept,RMS,d_la,d_lo,d_de,Ml,Ml,M,mode
"isor2013udql","SI",2013-10-14,14:25:51.155,63.8353,-22.6209,2.52,0.043,0.64,0.53,0.51,0.98,1.20,1.06,"manual"
"isor2013udru","SI",2013-10-14,15:06:49.131,63.7993,-22.6685,3.90,0.060,0.56,0.41,0.53,1.71,1.93,1.78,"manual"
"isor2013udss","SI",2013-10-14,15:35:08.953,63.8005,-22.6381,4.17,0.053,0.53,0.37,0.72,1.37,1.53,1.42,"manual"
"isor2013udvn","SI",2013-10-14,16:59:31.845,63.8027,-22.6295,3.04,0.046,0.49,0.37,0.73,1.05,1.17,1.09,"manual"
"isor2013udwm","SI",2013-10-14,17:29:34.445,63.8162,-22.7077,4.52,0.061,0.73,0.53,0.48,0.97,1.22,1.05,"manual"
"isor2013udzl","RR",2013-10-14,18:58:55.282,63.8061,-22.6758,3.35,0.027,0.61,0.50,0.59,0.88,1.08,0.94,"manual"
"isor2013udzo","SI",2013-10-14,19:01:43.872,63.8230,-22.6040,4.04,0.056,0.48,0.53,0.48,1.11,1.32,1.18,"manual"
"isor2013uear","SI",2013-10-14,19:35:42.327,63.7894,-22.6523,5.13,0.065,0.40,0.47,0.47,1.39,1.63,1.47,"manual"
"isor2013uegp","SI",2013-10-14,22:35:38.450,63.8124,-22.6381,3.99,0.053,0.44,0.36,0.52,1.09,1.33,1.17,"manual"
"isor2013uatdm","SI",2013-10-12,22:55:01.541,63.7993,-22.6545,0.91,0.039,0.66,0.72,1.12,1.32,1.54,1.40,"manual"
"isor2013uawln","SI",2013-10-13,00:35:18.895,63.8050,-22.6476,3.38,0.067,0.50,0.38,0.73,1.31,1.52,1.38,"manual"
"isor2013uawqi","SI",2013-10-13,00:40:56.549,63.8038,-22.6462,2.83,0.052,0.53,0.44,0.63,1.35,1.57,1.42,"manual"
"isor2013ubbuw","SI",2013-10-13,03:17:45.823,63.8112,-22.6318,3.35,0.054,0.54,0.51,0.50,1.19,1.40,1.26,"manual"
"isor2013ubbvt","SI",2013-10-13,03:18:47.259,63.8083,-22.6544,3.52,0.057,0.49,0.51,0.75,1.40,1.60,1.47,"manual"
"isor2013ubbwl","SI",2013-10-13,03:19:37.223,63.8078,-22.6531,3.62,0.058,0.48,0.54,0.77,1.37,1.60,1.45,"manual"
"isor2013ubdxu","SI",2013-10-13,04:21:49.028,63.8258,-22.6235,2.83,0.035,0.74,0.59,0.64,1.11,1.35,1.19,"manual"
"isor2013ubedw","SI",2013-10-13,04:29:41.597,63.8112,-22.6229,3.83,0.049,0.57,0.39,0.57,1.25,1.41,1.30,"manual"
"isor2013ubels","SI",2013-10-13,04:45:14.656,63.8127,-22.6209,3.72,0.055,0.47,0.29,0.63,1.89,2.13,1.97,"manual"
"isor2013uberi","SI",2013-10-13,04:44:34.642,63.8124,-22.6208,3.80,0.049,0.49,0.28,0.54,1.65,2.02,1.77,"manual"
"isor2013ubeur","SI",2013-10-13,04:48:27.493,63.8138,-22.6223,3.68,0.045,0.46,0.29,0.55,2.03,2.26,2.11,"manual"
"isor2013ubefd","SI",2013-10-13,04:30:22.419,63.8105,-22.6180,3.29,0.048,0.49,0.28,0.57,1.57,1.71,1.61,"manual"
"isor2013ubefh","SI",2013-10-13,04:30:31.484,63.8114,-22.6236,3.92,0.046,0.52,0.38,0.80,1.54,1.65,1.58,"manual"
"isor2013ubesc","SI",2013-10-13,04:45:27.922,63.8117,-22.6217,4.00,0.050,0.56,0.37,0.68,1.82,2.01,1.88,"manual"
"isor2013ubesi","SI",2013-10-13,04:45:44.855,63.8126,-22.6212,3.92,0.054,0.61,0.41,0.67,1.51,1.78,1.60,"manual"
"isor2013ubett","SI",2013-10-13,04:47:22.175,63.8140,-22.6233,3.66,0.055,0.54,0.40,0.67,1.48,1.67,1.54,"manual"
"isor2013ubevw","SI",2013-10-13,04:49:51.087,63.8121,-22.6259,3.99,0.050,0.44,0.30,0.42,1.83,2.09,1.91,"manual"
"isor2013ubfmx","SI",2013-10-13,05:09:41.880,63.8138,-22.6268,3.74,0.045,0.44,0.29,0.50,2.14,2.38,2.22,"manual"
"isor2013ubfsr","SI",2013-10-13,05:16:24.866,63.8112,-22.6344,3.93,0.051,0.47,0.48,0.53,1.61,1.80,1.67,"manual"
"isor2013ubgdq","SI",2013-10-13,05:29:12.524,63.8116,-22.6360,3.89,0.039,0.41,0.29,0.41,1.30,1.57,1.39,"manual"
"isor2013ubfdh","SI",2013-10-13,04:58:29.444,63.8113,-22.6226,3.63,0.045,0.44,0.29,0.49,1.60,1.81,1.67,"manual"
"isor2013ubfdn","SI",2013-10-13,04:58:46.124,63.8133,-22.6216,3.74,0.043,0.42,0.27,0.39,2.47,2.79,2.58,"manual"
"isor2013ubfdq","SI",2013-10-13,04:58:54.559,63.8130,-22.6260,3.56,0.045,0.40,0.26,0.52,2.02,2.28,2.11,"manual"
"isor2013ubfel","SI",2013-10-13,04:59:52.260,63.8113,-22.6271,3.44,0.060,0.50,0.37,0.58,1.39,1.60,1.46,"manual"
"isor2013ubffc","SI",2013-10-13,05:00:37.430,63.8155,-22.6340,3.48,0.058,0.44,0.33,0.41,1.37,1.50,1.41,"manual"
"isor2013ubfgp","SI",2013-10-13,05:02:22.410,63.8141,-22.6243,3.56,0.046,0.49,0.28,0.48,1.67,1.92,1.75,"manual"
"isor2013ubfgw","SI",2013-10-13,05:02:39.281,63.8127,-22.6196,3.63,0.045,0.44,0.27,0.43,2.02,2.45,2.16,"manual"
"isor2013ubfip","SI",2013-10-13,05:04:41.770,63.8135,-22.6267,3.56,0.052,0.43,0.28,0.42,2.64,2.93,2.73,"manual"
"isor2013ubfkg","SI",2013-10-13,05:06:36.145,63.8127,-22.6311,3.53,0.048,0.43,0.33,0.42,1.33,1.57,1.41,"manual"
"isor2013ubfno","SI",2013-10-13,05:10:29.291,63.8112,-22.6153,3.83,0.058,0.55,0.71,0.72,2.13,1.93,2.06,"manual"
"isor2013ubfnr","SI",2013-10-13,05:10:35.546,63.8133,-22.6254,3.86,0.042,0.41,0.26,0.40,1.91,2.16,1.99,"manual"
"isor2013ubfqd","SI",2013-10-13,05:13:29.929,63.8133,-22.6299,3.96,0.048,0.53,0.36,0.59,1.27,1.42,1.32,"manual"
"isor2013ubfrl","SI",2013-10-13,05:15:01.304,63.8140,-22.6271,3.97,0.054,0.60,0.85,0.64,1.25,1.37,1.29,"manual"
"isor2013ubfst","SI",2013-10-13,05:16:31.218,63.8113,-22.6303,3.86,0.047,0.46,0.34,0.51,1.47,1.65,1.53,"manual"
"isor2013ubfvu","SI",2013-10-13,05:20:03.777,63.8119,-22.6265,3.58,0.054,0.40,0.31,0.42,1.81,2.14,1.92,"manual"
"isor2013ubfwl","SI",2013-10-13,05:20:50.541,63.8130,-22.6279,3.61,0.057,0.43,0.28,0.43,1.45,1.61,1.50,"manual"
"isor2013ubfya","SI",2013-10-13,05:22:41.152,63.8121,-22.6253,3.65,0.053,0.41,0.28,0.46,2.00,2.40,2.13,"manual"
"isor2013ubfyp","SI",2013-10-13,05:23:21.037,63.8138,-22.6287,3.67,0.050,0.44,0.30,0.41,1.41,1.62,1.48,"manual"
"isor2013ubfzg","SI",2013-10-13,05:24:06.248,63.8123,-22.6333,3.83,0.049,0.51,0.42,0.53,1.44,1.71,1.53,"manual"
"isor2013ubgbc","SI",2013-10-13,05:26:16.521,63.8117,-22.6294,4.00,0.045,0.47,0.60,0.74,1.29,1.47,1.35,"manual"
"isor2013ubgcr","SI",2013-10-13,05:28:04.886,63.8135,-22.6280,3.99,0.051,0.47,0.33,0.58,1.20,1.41,1.27,"manual"
"isor2013ubgei","SI",2013-10-13,05:30:01.349,63.8127,-22.6349,3.51,0.047,0.41,0.33,0.39,1.52,1.71,1.58,"manual"
"isor2013ubgek","SI",2013-10-13,05:30:08.150,63.8135,-22.6274,3.58,0.045,0.44,0.36,0.43,1.62,1.83,1.69,"manual"
"isor2013ubgeq","SI",2013-10-13,05:30:22.446,63.8133,-22.6324,3.84,0.045,0.46,0.39,0.51,1.58,1.79,1.65,"manual"
"isor2013ubgiw","SI",2013-10-13,05:35:18.833,63.8088,-22.6357,3.17,0.052,0.47,0.32,0.47,1.43,1.76,1.54,"manual"
"isor2013ubglt","SI",2013-10-13,05:38:40.987,63.8155,-22.6691,4.59,0.067,0.51,0.40,0.42,1.31,1.61,1.41,"manual"
"isor2013ubgng","SI",2013-10-13,05:40:26.185,63.8151,-22.6311,3.38,0.037,0.40,0.28,0.38,2.01,2.22,2.08,"manual"
"isor2013ubgst","SI",2013-10-13,05:46:50.840,63.8128,-22.6321,3.59,0.049,0.53,0.51,0.67,1.18,1.40,1.25,"manual"
"isor2013ubgum","SI",2013-10-13,05:48:50.080,63.8121,-22.6329,3.22,0.050,0.43,0.26,0.44,1.86,2.09,1.94,"manual"
"isor2013ubgvw","SI",2013-10-13,05:50:28.913,63.8147,-22.6301,3.99,0.042,0.44,0.28,0.41,1.55,1.76,1.62,"manual"
"isor2013ubhhx","SI",2013-10-13,06:04:29.219,63.8134,-22.6258,3.62,0.050,0.47,0.29,0.48,1.23,1.42,1.29,"manual"
"isor2013ubhwq","SI",2013-10-13,06:29:09.438,63.8151,-22.6298,3.73,0.053,0.51,0.39,0.46,1.46,1.62,1.52,"manual"
"isor2013ubhwt","SI",2013-10-13,06:29:00.124,63.8161,-22.6264,3.63,0.049,0.47,0.36,0.43,1.29,1.48,1.35,"manual"
"isor2013ubicn","SI",2013-10-13,06:29:18.829,63.8113,-22.6347,3.15,0.058,0.43,0.32,0.47,1.51,1.60,1.54,"manual"
"isor2013ubgox","SI",2013-10-13,05:42:21.287,63.8117,-22.6243,4.00,0.050,0.55,0.39,0.72,1.32,1.52,1.39,"manual"
"isor2013ubgwj","SI",2013-10-13,05:51:03.873,63.8126,-22.6339,3.37,0.058,0.42,0.27,0.38,2.46,2.74,2.56,"manual"
"isor2013ubgzc","SI",2013-10-13,05:54:14.411,63.8137,-22.6290,3.92,0.051,0.47,0.47,0.49,1.36,1.53,1.41,"manual"
"isor2013ubgzv","SI",2013-10-13,05:55:05.008,63.8090,-22.6338,3.44,0.048,0.42,0.30,0.49,1.32,1.59,1.41,"manual"
"isor2013ubhab","SI",2013-10-13,05:55:20.966,63.8102,-22.6365,3.17,0.058,0.42,0.33,0.42,1.59,1.85,1.67,"manual"
"isor2013ubhae","SI",2013-10-13,05:55:28.506,63.8112,-22.6293,3.38,0.048,0.46,0.47,0.56,1.34,1.58,1.42,"manual"
"isor2013ubhan","SI",2013-10-13,05:55:53.085,63.8088,-22.6350,3.00,0.059,0.44,0.34,0.52,1.34,1.53,1.41,"manual"
"isor2013ubhcz","SI",2013-10-13,05:58:46.868,63.8100,-22.6368,3.49,0.050,0.47,0.32,0.48,1.34,1.45,1.38,"manual"
"isor2013ubhkl","SI",2013-10-13,06:07:26.989,63.8123,-22.6333,3.80,0.048,0.48,0.34,0.64,1.41,1.63,1.48,"manual"
"isor2013ubhns","SI",2013-10-13,06:11:16.877,63.8130,-22.6330,3.25,0.051,0.46,0.38,0.57,1.30,1.48,1.36,"manual"
"isor2013ubihp","SI",2013-10-13,06:34:26.639,63.8127,-22.6247,3.84,0.047,0.43,0.27,0.46,2.51,2.78,2.60,"manual"
"isor2013ubiie","SI",2013-10-13,06:35:45.077,63.8175,-22.6311,3.67,0.042,0.48,0.28,0.43,2.36,2.67,2.46,"manual"
"isor2013ubiud","SI",2013-10-13,06:49:04.131,63.8138,-22.6300,3.92,0.048,0.44,0.30,0.42,1.62,1.84,1.69,"manual"
"isor2013ubjdi","SI",2013-10-13,06:59:50.471,63.8138,-22.6312,4.01,0.043,0.44,0.38,0.46,1.76,2.08,1.87,"manual"
"isor2013ubldd","SI",2013-10-13,08:00:09.476,63.8013,-22.6605,3.98,0.045,0.44,0.37,0.58,3.62,3.80,3.68,"manual"
"isor2013ubnqq","SI",2013-10-13,09:16:30.259,63.8179,-22.7067,3.90,0.069,0.76,0.58,0.50,1.08,1.37,1.17,"manual"
"isor2013ubpka","SI",2013-10-13,10:09:26.209,63.8310,-22.6283,3.15,0.051,0.33,0.32,0.30,1.39,1.67,1.48,"manual"
"isor2013ubihb","SI",2013-10-13,06:33:49.301,63.8134,-22.6270,3.93,0.049,0.45,0.28,0.41,2.49,2.82,2.60,"manual"
"isor2013ubijb","SI",2013-10-13,06:36:14.801,63.8147,-22.6352,3.51,0.056,0.46,0.32,0.45,1.68,1.92,1.76,"manual"
"isor2013ubijo","SI",2013-10-13,06:36:44.529,63.8130,-22.6362,3.89,0.042,0.43,0.33,0.45,1.45,1.62,1.50,"manual"
"isor2013ubikv","SI",2013-10-13,06:38:12.016,63.8130,-22.6305,3.37,0.042,0.40,0.34,0.44,1.61,1.91,1.71,"manual"
"isor2013ubill","SI",2013-10-13,06:38:55.131,63.8105,-22.6340,3.79,0.044,0.42,0.32,0.44,1.25,1.49,1.33,"manual"
"isor2013ubimf","SI",2013-10-13,06:39:51.002,63.8085,-22.6369,3.61,0.047,0.43,0.30,0.49,1.93,2.18,2.01,"manual"
"isor2013ubino","SI",2013-10-13,06:41:23.998,63.8134,-22.6283,4.07,0.048,0.50,0.45,0.49,1.38,1.54,1.43,"manual"
"isor2013ubiog","SI",2013-10-13,06:42:12.507,63.8116,-22.6367,3.87,0.047,0.48,0.36,0.61,1.33,1.51,1.39,"manual"
"isor2013ubioz","SI",2013-10-13,06:43:02.789,63.8135,-22.6255,3.36,0.048,0.50,0.40,0.65,1.25,1.50,1.34,"manual"
"isor2013ubipo","SI",2013-10-13,06:43:44.030,63.8127,-22.6234,3.68,0.054,0.46,0.36,0.49,1.43,1.52,1.46,"manual"
"isor2013ubiqs","SI",2013-10-13,06:45:05.517,63.8150,-22.6288,3.84,0.052,0.49,0.38,0.51,1.43,1.71,1.52,"manual"
"isor2013ubirz","SI",2013-10-13,06:46:32.997,63.8130,-22.6273,4.34,0.048,0.45,0.29,0.41,2.53,2.82,2.63,"manual"
"isor2013ubish","SI",2013-10-13,06:46:55.091,63.8119,-22.6373,3.75,0.051,0.43,0.31,0.41,2.05,2.29,2.13,"manual"
"isor2013ubisn","SI",2013-10-13,06:47:10.707,63.8119,-22.6348,3.56,0.051,0.42,0.34,0.42,1.40,1.52,1.44,"manual"
"isor2013ubitm","SI",2013-10-13,06:48:19.111,63.8168,-22.6262,4.00,0.044,0.46,0.32,0.54,1.22,1.51,1.31,"manual"
"isor2013ubiun","SI",2013-10-13,06:49:30.267,63.8128,-22.6321,4.31,0.051,0.55,0.39,0.49,1.75,1.87,1.79,"manual"
"isor2013ubivv","SI",2013-10-13,06:51:03.020,63.8138,-22.6255,4.08,0.050,0.54,0.38,0.48,1.49,1.70,1.56,"manual"
"isor2013ubiwj","SI",2013-10-13,06:51:39.816,63.8209,-22.6360,3.37,0.054,0.44,0.41,0.36,1.48,1.65,1.54,"manual"
"isor2013ubiwp","SI",2013-10-13,06:51:56.768,63.8117,-22.6255,4.00,0.052,0.54,0.40,0.51,1.35,1.51,1.40,"manual"
"isor2013ubiww","SI",2013-10-13,06:52:16.176,63.8085,-22.6452,3.63,0.054,0.43,0.29,0.43,1.95,2.21,2.04,"manual"
"isor2013ubixj","SI",2013-10-13,06:52:49.691,63.8166,-22.6227,3.84,0.040,0.44,0.30,0.42,1.59,1.74,1.64,"manual"
"isor2013ubiyl","SI",2013-10-13,06:54:05.029,63.8034,-22.6458,3.01,0.066,0.44,0.33,0.64,1.60,1.92,1.71,"manual"
"isor2013ubiyz","SI",2013-10-13,06:54:43.709,63.8135,-22.6255,4.03,0.042,0.47,0.31,0.49,3.14,3.53,3.27,"manual"
"isor2013ubizt","SI",2013-10-13,06:55:37.729,63.8134,-22.6321,4.45,0.050,0.54,0.47,0.48,1.55,1.77,1.62,"manual"
"isor2013ubizx","SI",2013-10-13,06:55:47.139,63.8133,-22.6229,3.70,0.044,0.40,0.25,0.41,2.06,2.30,2.14,"manual"
"isor2013ubjaa","SI",2013-10-13,06:55:56.816,63.8127,-22.6279,3.72,0.053,0.42,0.30,0.46,1.97,2.18,2.04,"manual"
"isor2013ubjaj","SI",2013-10-13,06:56:20.863,63.8138,-22.6280,4.25,0.053,0.54,0.35,0.45,1.58,1.82,1.66,"manual"
"isor2013ubjay","SI",2013-10-13,06:56:59.573,63.8123,-22.6409,3.93,0.055,0.44,0.29,0.39,2.32,2.66,2.43,"manual"
"isor2013ubjbn","SI",2013-10-13,06:57:45.353,63.8128,-22.6461,4.00,0.046,0.49,0.40,0.66,1.47,1.69,1.54,"manual"
"isor2013ubjbo","SI",2013-10-13,06:57:39.358,63.8168,-22.6377,3.52,0.050,0.41,0.31,0.41,1.42,1.66,1.50,"manual"
"isor2013ubjbp","SI",2013-10-13,06:57:42.813,63.8117,-22.6396,4.00,0.044,0.48,0.56,0.43,1.46,1.69,1.54,"manual"
"isor2013ubjck","SI",2013-10-13,06:58:43.463,63.8095,-22.6431,3.31,0.055,0.49,0.42,0.50,1.41,1.69,1.50,"manual"
"isor2013ubjdz","SI",2013-10-13,07:00:33.440,63.8175,-22.6088,4.01,0.042,0.46,0.27,0.54,1.75,1.93,1.81,"manual"
"isor2013ubjej","SI",2013-10-13,07:00:59.000,63.8128,-22.6333,4.00,0.060,0.68,1.09,0.82,1.28,1.51,1.36,"manual"
"isor2013ubjen","SI",2013-10-13,07:01:09.608,63.8140,-22.6360,4.00,0.049,0.45,0.29,0.44,1.81,1.96,1.86,"manual"
"isor2013ubjff","SI",2013-10-13,07:01:58.103,63.8144,-22.6326,4.35,0.044,0.44,0.29,0.43,1.52,1.61,1.55,"manual"
"isor2013ubjgd","SI",2013-10-13,07:03:07.965,63.8135,-22.6357,3.80,0.047,0.45,0.32,0.44,1.49,1.76,1.58,"manual"
"isor2013ubjge","SI",2013-10-13,07:03:03.191,63.8078,-22.6492,3.38,0.056,0.46,0.49,0.62,1.55,1.84,1.65,"manual"
"isor2013ubjgx","RR",2013-10-13,07:03:56.880,63.8072,-22.6670,3.18,0.064,0.68,0.86,0.86,1.21,1.35,1.25,"manual"
"isor2013ubjhm","SI",2013-10-13,07:04:38.388,63.8090,-22.6446,4.25,0.046,0.46,0.33,0.43,1.24,1.44,1.31,"manual"
"isor2013ubjhr","SI",2013-10-13,07:04:51.853,63.8121,-22.6406,3.70,0.042,0.43,0.36,0.49,1.24,1.47,1.31,"manual"
"isor2013ubjin","SI",2013-10-13,07:05:49.826,63.8088,-22.6389,2.60,0.046,0.41,0.31,0.58,1.37,1.71,1.48,"manual"
"isor2013ubjiq","SI",2013-10-13,07:05:58.746,63.8121,-22.6304,3.03,0.048,0.45,0.38,0.45,1.41,1.75,1.52,"manual"
"isor2013ubjjc","SI",2013-10-13,07:06:30.050,63.8130,-22.6247,4.13,0.047,0.45,0.41,0.46,1.43,1.63,1.50,"manual"
"isor2013ubjje","SI",2013-10-13,07:06:36.032,63.8158,-22.6283,3.03,0.053,0.52,0.35,0.49,1.37,1.57,1.44,"manual"
"isor2013ubjkw","SI",2013-10-13,07:08:33.709,63.8102,-22.6308,3.05,0.052,0.44,0.45,0.48,1.19,1.43,1.27,"manual"
"isor2013ubjlj","SI",2013-10-13,07:09:09.124,63.8095,-22.6405,4.00,0.059,0.52,0.50,0.57,1.45,1.65,1.51,"manual"
"isor2013ubjmd","SI",2013-10-13,07:10:06.131,63.8213,-22.6306,4.14,0.055,0.47,0.31,0.44,1.69,1.94,1.77,"manual"
"isor2013ubjme","SI",2013-10-13,07:10:02.087,63.8089,-22.6417,3.83,0.045,0.46,0.38,0.66,1.75,1.99,1.83,"manual"
"isor2013ubjmq","SI",2013-10-13,07:10:37.563,63.8285,-22.6318,3.39,0.046,0.46,0.36,0.41,1.28,1.51,1.35,"manual"
"isor2013ubjnv","SI",2013-10-13,07:12:01.214,63.8106,-22.6394,4.00,0.041,0.45,0.34,0.54,1.58,1.81,1.66,"manual"
"isor2013ubjnz","SI",2013-10-13,07:12:12.618,63.8195,-22.6173,4.11,0.055,0.46,0.28,0.39,2.72,2.84,2.76,"manual"
"isor2013ubjos","SI",2013-10-13,07:13:03.234,63.8195,-22.6109,3.92,0.037,0.47,0.26,0.49,1.54,1.77,1.62,"manual"
"isor2013ubjpj","SI",2013-10-13,07:13:48.908,63.8144,-22.6294,4.01,0.052,0.47,0.35,0.44,1.53,1.63,1.57,"manual"
"isor2013ubjps","SI",2013-10-13,07:14:13.979,63.8135,-22.6427,3.72,0.050,0.43,0.31,0.42,1.45,1.64,1.52,"manual"
"isor2013ubjqa","SI",2013-10-13,07:14:34.765,63.8127,-22.6330,4.30,0.049,0.51,0.39,0.48,1.25,1.38,1.29,"manual"
"isor2013ubjrc","SI",2013-10-13,07:15:50.552,63.8078,-22.6416,4.00,0.052,0.52,0.40,0.47,1.36,1.62,1.45,"manual"
"isor2013ubjsf","SI",2013-10-13,07:17:08.689,63.8054,-22.6359,4.03,0.043,0.52,0.33,0.49,1.90,2.19,2.00,"manual"
"isor2013ubjtw","SI",2013-10-13,07:19:03.154,63.8164,-22.6131,4.06,0.046,0.54,0.36,0.55,1.35,1.52,1.41,"manual"
"isor2013ubjtz","SI",2013-10-13,07:19:12.616,63.8093,-22.6421,3.44,0.058,0.48,0.34,0.48,1.63,1.88,1.71,"manual"
"isor2013ubjut","SI",2013-10-13,07:20:04.158,63.8079,-22.6432,3.65,0.051,0.44,0.28,0.41,2.03,2.17,2.07,"manual"
"isor2013ubjwe","SI",2013-10-13,07:21:44.380,63.8054,-22.6454,3.05,0.049,0.46,0.30,0.43,1.96,2.35,2.09,"manual"
"isor2013ubjwm","SI",2013-10-13,07:22:06.128,63.8029,-22.6470,3.01,0.059,0.47,0.32,0.55,1.69,2.00,1.79,"manual"
"isor2013ubjxk","SI",2013-10-13,07:23:11.928,63.8144,-22.6288,4.01,0.045,0.48,0.36,0.60,1.12,1.39,1.21,"manual"
"isor2013ubjxw","SI",2013-10-13,07:23:43.592,63.8105,-22.6480,3.89,0.048,0.46,0.33,0.42,1.44,1.71,1.53,"manual"
"isor2013ubjym","SI",2013-10-13,07:24:25.850,63.8186,-22.6121,4.25,0.042,0.50,0.29,0.54,1.62,1.86,1.70,"manual"
"isor2013ubjzm","SI",2013-10-13,07:25:37.421,63.8206,-22.6136,4.30,0.032,0.47,0.29,0.49,1.64,1.78,1.69,"manual"
"isor2013ubkab","SI",2013-10-13,07:26:16.703,63.8178,-22.6094,4.04,0.043,0.52,0.31,0.72,1.29,1.39,1.32,"manual"
"isor2013ubkai","SI",2013-10-13,07:26:34.865,63.8116,-22.6354,3.86,0.049,0.40,0.34,0.37,1.79,2.05,1.88,"manual"
"isor2013ubkat","SI",2013-10-13,07:27:06.155,63.8164,-22.6124,4.70,0.045,0.54,0.32,0.56,1.97,2.14,2.03,"manual"
"isor2013ubkbc","SI",2013-10-13,07:27:30.535,63.8055,-22.6464,3.80,0.062,0.47,0.39,0.60,1.76,1.94,1.82,"manual"
"isor2013ubkbj","SI",2013-10-13,07:27:47.336,63.8057,-22.6512,3.44,0.058,0.49,0.35,0.46,1.68,1.97,1.77,"manual"
"isor2013ubkbw","SI",2013-10-13,07:28:22.552,63.8186,-22.6236,3.44,0.050,0.47,0.38,0.55,1.43,1.61,1.49,"manual"
"isor2013ubkck","SI",2013-10-13,07:29:00.010,63.8138,-22.6408,3.75,0.044,0.49,0.37,0.40,1.25,1.48,1.32,"manual"
"isor2013ubkdy","SI",2013-10-13,07:30:49.333,63.8095,-22.6456,4.00,0.055,0.44,0.32,0.44,1.54,1.75,1.61,"manual"
"isor2013ubkeo","SI",2013-10-13,07:31:30.166,63.8128,-22.6397,3.90,0.040,0.43,0.32,0.44,1.38,1.44,1.40,"manual"
"isor2013ubkez","SI",2013-10-13,07:32:01.208,63.8161,-22.6124,3.98,0.048,0.47,0.30,0.59,1.52,1.66,1.57,"manual"
"isor2013ubkfe","SI",2013-10-13,07:32:13.723,63.8171,-22.6116,3.92,0.041,0.59,0.30,0.68,3.69,3.84,3.74,"manual"
"isor2013ubkfq","SI",2013-10-13,07:32:51.043,63.8179,-22.6110,3.83,0.026,0.72,0.31,0.70,3.90,3.93,3.91,"manual"
"isor2013ubkfr","SI",2013-10-13,07:32:46.471,63.8234,-22.6140,3.49,0.041,0.42,0.23,0.36,3.85,3.79,3.83,"manual"
"isor2013ubkfv","RR",2013-10-13,07:33:01.484,63.8128,-22.6270,4.45,0.030,0.58,0.58,0.72,3.64,3.77,3.69,"manual"
"isor2013ubkfy","SI",2013-10-13,07:33:07.571,63.8190,-22.6061,4.65,0.043,0.51,0.62,0.49,3.29,3.49,3.36,"manual"
"isor2013ubkgh","SI",2013-10-13,07:33:31.581,63.8158,-22.6283,4.22,0.045,0.45,0.32,0.41,3.00,3.43,3.14,"manual"
"isor2013ubkgl","SI",2013-10-13,07:33:41.905,63.8151,-22.6374,4.93,0.048,0.67,0.41,0.56,3.77,3.80,3.78,"manual"
"isor2013ubkgo","RR",2013-10-13,07:33:51.776,63.8117,-22.6294,4.31,0.035,0.55,0.44,0.60,3.81,3.80,3.81,"manual"
"isor2013ubkgq","SI",2013-10-13,07:33:57.923,63.8173,-22.6148,3.80,0.049,0.82,0.37,0.79,3.98,3.89,3.95,"manual"
"isor2013ubkht","SI",2013-10-13,07:35:15.720,63.8068,-22.6386,4.63,0.038,0.48,0.34,0.44,2.94,3.29,3.06,"manual"
"isor2013ubkhz","SI",2013-10-13,07:35:31.968,63.7988,-22.6251,3.93,0.046,0.71,0.41,0.70,3.78,3.88,3.82,"manual"
"isor2013ubkjc","SI",2013-10-13,07:36:50.072,63.8220,-22.6297,2.57,0.055,0.37,0.26,0.37,2.75,3.15,2.89,"manual"
"isor2013ubkjj","SI",2013-10-13,07:37:06.471,63.8268,-22.6354,3.19,0.060,0.40,0.25,0.31,2.56,2.96,2.70,"manual"
"isor2013ubkjt","SI",2013-10-13,07:37:33.268,63.8248,-22.6326,3.17,0.062,0.38,0.30,0.34,3.22,3.39,3.28,"manual"
"isor2013ubkjy","SI",2013-10-13,07:37:47.182,63.8408,-22.6207,4.65,0.043,0.37,0.26,0.39,2.50,2.66,2.55,"manual"
"isor2013ubkkg","SI",2013-10-13,07:38:09.600,63.8228,-22.6082,3.06,0.060,0.45,0.31,0.40,2.65,2.88,2.73,"manual"
"isor2013ubkkp","SI",2013-10-13,07:38:33.426,63.8273,-22.6107,3.17,0.051,0.46,0.29,0.44,2.51,2.85,2.62,"manual"
"isor2013ubklk","SI",2013-10-13,07:39:30.084,63.8158,-22.6442,3.68,0.058,0.51,0.44,0.42,1.91,2.21,2.01,"manual"
"isor2013ubklt","SI",2013-10-13,07:39:54.215,63.8068,-22.6093,3.79,0.060,0.46,0.31,0.67,3.20,3.61,3.34,"manual"
"isor2013ubkmg","SI",2013-10-13,07:40:28.584,63.8126,-22.6671,4.81,0.061,0.57,0.43,0.42,1.98,2.29,2.08,"manual"
"isor2013ubkmv","SI",2013-10-13,07:41:08.893,63.8016,-22.6408,4.00,0.041,0.49,0.41,0.57,1.92,2.13,1.99,"manual"
"isor2013ubknj","SI",2013-10-13,07:41:47.542,63.8029,-22.6343,4.85,0.047,0.49,0.36,0.47,1.97,2.32,2.08,"manual"
"isor2013ubknn","SI",2013-10-13,07:41:58.713,63.8161,-22.6098,3.46,0.055,0.46,0.31,0.51,3.00,3.49,3.16,"manual"
"isor2013ubknu","SI",2013-10-13,07:42:16.128,63.8074,-22.6508,3.82,0.055,0.46,0.33,0.52,2.59,3.08,2.75,"manual"
"isor2013ubkny","SI",2013-10-13,07:42:27.355,63.8067,-22.6338,4.69,0.050,0.52,0.35,0.60,2.60,2.92,2.71,"manual"
